Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5226644, 85.7238867896062, 11.6653599705478, 391390, 1172842, 2.496826
1.031998, 89.7871864107692, 11.1374466385473, 392218, 1175326, 2.503375
1.533856, 84.0744024832215, 11.8942266366366, 418954, 1255534, 2.51805
2.034788, 89.7849291806407, 11.1377266385466, 402458, 1206046, 2.530581
2.536582, 91.83253663506, 10.8893866391736, 394418, 1181926, 2.551613
3.039054, 89.2827381944411, 11.2003733050551, 398290, 1193542, 2.570025
3.53995, 89.3179325399519, 11.1959599717329, 426038, 1276786, 2.568239
4.050958, 90.4402813778034, 11.0570199720837, 417018, 1249726, 2.528076
4.557033, 87.4818693825705, 11.4309399711397, 394342, 1181698, 2.473345
5.065858, 75.8107964682277, 13.1907333000299, 412690, 1236742, 2.443938
5.573468, 85.6058353503019, 11.6814466371738, 183694, 549754, 2.587552
6.081172, 80.4604051664163, 12.4284733019545, 380218, 1139326, 2.561926
6.587452, 77.9351548337721, 12.8311799676044, 188870, 565282, 2.450259
7.097253, 93.5457778736795, 10.6899533063438, 193570, 579382, 2.421077
7.603258, 82.1470388183094, 12.1732933025987, 203902, 610378, 2.420487
8.112489, 88.683458583938, 11.2760599715307, 194398, 581866, 2.413756
8.625888, 76.0635972807771, 13.1468933001406, 183586, 549430, 2.426842
9.12886, 80.4372784958444, 12.4320466352788, 191978, 574606, 2.45156
9.636625, 77.8384975716983, 12.8471133008975, 207538, 621286, 2.464474
10.14393, 89.1374172136238, 11.218633305009, 205282, 614518, 2.460783
10.65179, 94.5118839242846, 10.5806799732864, 399114, 1196014, 2.445651
11.15309, 84.8075236711933, 11.7914066368962, 404518, 1212226, 2.435077
11.66169, 93.7177259581232, 10.67033997306, 403474, 1209094, 2.430159
12.16436, 83.3063050654676, 12.0038933030264, 381994, 1144654, 2.438989
12.66894, 94.4725377779933, 10.5850866399419, 188870, 565282, 2.449471
13.18231, 87.8255620396843, 11.3862066379193, 193570, 579382, 2.451168
13.6853, 88.4744874967854, 11.3026933047968, 417654, 1251634, 2.444863
14.18535, 94.3769579286397, 10.5958066399148, 402458, 1206046, 2.430282
14.6909, 91.7211847197398, 10.9026066391402, 394418, 1181926, 2.420872
