Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5312874, 77.1231224375843, 12.9662799672633, 14678, 42706, 2.696303
1.041467, 84.1501035887775, 11.8835266366636, 14670, 42682, 2.696994
1.552124, 85.4430163435402, 11.7037066371176, 15190, 44242, 2.660883
2.052214, 84.268668740425, 11.8668066367059, 14890, 43342, 2.59467
2.5525, 89.7549510326906, 11.1414466385372, 15038, 43786, 2.449164
3.063326, 89.8015923618358, 11.1356599718852, 14670, 42682, 2.298517
3.564044, 89.4977386904691, 11.1734666384564, 15210, 44302, 2.129052
4.074094, 90.2406537754885, 11.081479972022, 14530, 42262, 2.022533
4.585289, 84.6424702058505, 11.8143999701715, 14246, 41410, 1.924304
5.095675, 90.5499096010069, 11.0436333054508, 15394, 44854, 1.862856
5.597127, 89.1288369221555, 11.2197133050063, 14554, 42334, 1.933411
6.112527, 86.8362598117737, 11.5159266375917, 14802, 43078, 2.044849
6.61652, 80.4736572165557, 12.426426635293, 15082, 43918, 2.057752
7.117083, 90.1673686697248, 11.0904866386659, 14778, 43006, 2.090852
7.627418, 90.4632987381576, 11.0542066387575, 15070, 43882, 2.170491
8.132508, 87.2891312811077, 11.4561799710759, 14518, 42226, 2.201062
8.639494, 89.8074528211514, 11.1349333052203, 14526, 42250, 2.17413
9.140262, 89.7175869797053, 11.1460866385255, 15686, 45730, 2.184975
9.649775, 90.1022660719917, 11.098499971979, 14458, 42046, 2.245397
10.1542, 87.4948305137638, 11.4292466378106, 14926, 43450, 2.287411
10.66138, 90.4773221607915, 11.0524933054285, 15050, 43822, 2.272654
11.17196, 89.9738535981444, 11.114339971939, 14898, 43366, 2.22408
11.67227, 90.1783728214408, 11.089133305336, 15146, 44110, 2.238083
12.17684, 87.3005618664162, 11.4546799710797, 14402, 41878, 2.222333
12.68407, 89.0490981107343, 11.2297599716476, 14542, 42298, 2.141802
13.19348, 89.8005708921627, 11.1357866385515, 15570, 45382, 2.096495
13.70455, 89.9535120249855, 11.116853305266, 33154, 56208, 2.09144
14.2149, 91.493261521289, 10.9297666390717, 33974, 58668, 2.019919
14.71588, 89.5428835793275, 11.1678333051373, 33902, 58452, 1.944609
15.22455, 91.9633814077019, 10.8738933058794, 33854, 58308, 1.865505
15.72459, 90.0774846522979, 11.1015533053046, 33574, 57468, 1.842461
16.22559, 92.5404386293404, 10.8060866393839, 33418, 57000, 1.898383
16.73632, 84.2596748362975, 11.8680733033693, 33558, 57420, 1.946818
17.24606, 85.2862462282158, 11.7252199703967, 34142, 59172, 1.949214
17.757, 84.7958737197236, 11.7930266368921, 33554, 57408, 2.007613
18.25728, 90.3722795684543, 11.0653399720627, 33950, 58596, 2.115806
18.75921, 83.5686254409638, 11.9662133031215, 33558, 57420, 2.113268
19.26756, 89.7174259950859, 11.1461066385255, 34098, 59040, 2.097738
19.77963, 89.6094818779758, 11.1595333051582, 33418, 57000, 2.13147
20.2889, 90.3162332591335, 11.072206638712, 14422, 41938, 2.106099
20.79993, 90.3045430409513, 11.0736399720417, 15322, 44638, 1.993178
21.3008, 90.0638011967678, 11.103239971967, 14554, 42334, 1.896207
21.81511, 88.0218669790074, 11.36081330465, 14870, 43282, 1.827982
22.32254, 89.4014039596478, 11.185506638426, 15158, 44146, 1.767895
22.83353, 89.843008327249, 11.1305266385648, 14898, 43366, 1.714011
