Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5207468, 203.323664163526, 4.91826665424924, 32380, 93860, 0
1.022816, 189.751160328345, 5.27005998669438, 32680, 94760, 0
1.523013, 218.086336018703, 4.58533998842313, 32906, 95438, 0
2.027704, 210.267797066344, 4.75583998799266, 34426, 99998, 0
2.530582, 226.237860453471, 4.42012665550692, 32974, 95642, 0
3.031873, 206.995624112506, 4.83101998780285, 209886, 626378, 0
3.533153, 218.243402501942, 4.58203998843146, 206682, 616766, 0
4.037517, 223.698633201351, 4.47029998871358, 197906, 590438, 0
4.538406, 214.174955237434, 4.66907998821171, 199438, 595034, 0
5.039291, 219.828211580257, 4.54900665518153, 196686, 586778, 0
5.542912, 208.044671351833, 4.80665998786435, 208146, 621158, 0
6.047242, 224.27894319762, 4.45873332207611, 213578, 637454, 0
6.550062, 191.773431197446, 5.21448665350135, 200870, 599330, 0
7.052872, 219.96940958744, 4.5460866551889, 200330, 597710, 0
7.55455, 229.468672936771, 4.35789332233071, 196430, 586010, 0
8.058549, 214.082947151484, 4.67108665487331, 198842, 593246, 0
8.560436, 225.253635593678, 4.43943998879149, 32486, 94178, 0
9.064049, 225.7611537298, 4.42945998881669, 33268, 96524, 0
9.566875, 224.537788961423, 4.45359332208909, 33668, 97724, 0
10.06761, 222.479639405, 4.49479332198507, 32986, 95678, 0
10.57133, 228.212895245717, 4.38187332227017, 33442, 97046, 0
11.07184, 203.940955014704, 4.90337998762016, 33846, 98258, 0
11.57565, 217.496269938971, 4.59777998839172, 33442, 97046, 0
12.07841, 225.44864279917, 4.43559998880119, 32986, 95678, 0
12.58224, 221.40417479712, 4.51662665526328, 33668, 97724, 0
13.08575, 224.0949923733, 4.46239332206687, 33254, 96482, 0
13.58753, 251.519597568644, 3.97583332329532, 32176, 93248, 0
14.08883, 249.037470177763, 4.01545998986194, 198842, 593246, 0
14.58996, 254.037932944147, 3.93641999006149, 196430, 586010, 0
15.09096, 218.736693517811, 4.57170665512422, 200330, 597710, 0
15.59427, 248.663021819351, 4.02150665651334, 200870, 599330, 0
16.09634, 255.020070079515, 3.92125999009977, 213578, 637454, 0
16.59887, 257.011707739993, 3.89087332350982, 208146, 621158, 0
17.10135, 249.236091379921, 4.01225998987002, 196686, 586778, 0
17.60446, 256.283210032633, 3.9019333234819, 199438, 595034, 0
18.10591, 240.315678675508, 4.16119332282733, 197906, 590438, 0
18.60818, 207.163721489093, 4.82709998781274, 205538, 613334, 0
