Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5265204, 44.1388986403159, 22.6557532761331, 50278, 149506, 2.599975
1.037553, 44.9386766818, 22.2525466104844, 50298, 149566, 2.595379
1.548913, 44.8676091456938, 22.2877932770621, 54658, 162646, 2.601263
2.061826, 44.8394970204154, 22.3017666103601, 50722, 150838, 2.588947
2.575894, 45.2194045508809, 22.1143999441665, 53050, 157822, 2.567776
3.089397, 44.6556690669585, 22.393573276795, 52346, 155710, 2.503299
3.600718, 45.385271027223, 22.0335799443706, 51274, 152494, 2.318638
4.119838, 44.0988013063829, 22.676353276081, 52742, 156898, 2.164678
4.629849, 89.7937975233673, 11.1366266385494, 55358, 164746, 2.071249
5.13188, 89.6208321831993, 11.1581199718285, 51206, 152290, 1.972611
5.633215, 89.1391652533157, 11.2184133050096, 53474, 159094, 1.879221
6.150157, 81.785898693443, 12.2270466357963, 53522, 159238, 1.862177
6.657039, 84.3225777074715, 11.8592199700583, 50734, 150874, 1.865188
7.158411, 90.9756409688784, 10.9919533055813, 50454, 150034, 1.868359
7.660081, 89.7530713501016, 11.14167997187, 53494, 159154, 1.879935
8.166411, 87.6274175674278, 11.4119533045209, 50722, 150838, 1.884421
8.674971, 89.4658708578047, 11.1774466384463, 53366, 158770, 1.877757
9.176304, 89.5932109848444, 11.1615599718198, 52682, 156718, 1.869476
9.676949, 89.885108853863, 11.1253133052446, 51490, 153142, 1.862258
10.17732, 90.3764177800539, 11.0648333053973, 52798, 157066, 1.852991
10.67848, 89.9823274708847, 11.113293305275, 55434, 164974, 1.835868
11.17934, 91.2307761549512, 10.9612133056589, 51170, 152182, 1.811553
11.6803, 90.0739146543654, 11.1019933053035, 54426, 161950, 1.806916
12.18206, 84.0405815160024, 11.8990133032912, 53614, 159514, 1.843192
12.68644, 82.8366814079143, 12.0719466361879, 50318, 149626, 1.864584
13.19628, 83.462746959313, 11.9813933030832, 49858, 148246, 1.883045
13.70556, 90.2671003499354, 11.0782333053635, 55166, 164170, 1.911925
14.20758, 89.9939344088208, 11.1118599719453, 51670, 153682, 1.914533
14.71382, 82.0074550243781, 12.1940133025464, 53662, 159658, 1.892682
15.22198, 89.3334651498241, 11.1940133050712, 52038, 154786, 1.84297
15.72333, 89.4960299561111, 11.1736799717892, 52246, 155410, 1.802019
16.22414, 89.8759532093804, 11.1264466385751, 54166, 161170, 1.777796
16.73669, 84.3705758179305, 11.8524733034087, 51762, 153958, 1.752878
17.23797, 90.5324758097225, 11.0457599721121, 54234, 161374, 1.71479
17.73949, 89.7994956860322, 11.1359199718845, 53858, 160246, 1.676701
18.24101, 89.7862727563308, 11.1375599718804, 51102, 151978, 1.674044
18.74162, 89.8055171720123, 11.1351733052197, 50362, 149758, 1.757916
19.24631, 87.9035358318253, 11.3761066379448, 4078, 10930, 1.888041
19.75574, 89.4125950157843, 11.1841066384295, 13522, 18300, 1.982011
20.25617, 89.7842842785923, 11.1378066385464, 13522, 18300, 1.987861
20.75751, 89.8725607089148, 11.126866638574, 22966, 25668, 2.03644
21.25902, 89.6575261814919, 11.1535533051733, 4078, 10930, 2.25306
21.77022, 90.3882900162518, 11.0633799720677, 4078, 10930, 2.404893
22.27212, 89.9144194555622, 11.1216866385871, 4078, 10930, 2.547706
22.77329, 90.163249579689, 11.0909933053313, 4078, 10930, 2.623242
23.27363, 89.9525949824443, 11.116966638599, 4078, 10930, 2.639796
23.7792, 87.410091436783, 11.4403266377826, 63106, 167052, 2.549668
24.28734, 90.0228838170663, 11.1082866386209, 50278, 149506, 2.421878
24.78876, 89.6363632017631, 11.1561866385, 50590, 150442, 2.398285
25.29057, 84.0568291410457, 11.896713303297, 4102, 10978, 2.448552
25.79157, 84.1750841750842, 11.8799999700059, 4102, 10978, 2.46895
26.29402, 89.397354553484, 11.1860133050914, 54114, 161014, 2.43861
26.79417, 89.8422549687259, 11.1306199718979, 52610, 156502, 2.440088
27.29583, 84.2322789323839, 11.8719333033596, 60006, 160562, 2.462897
27.79637, 90.4508613635528, 11.0557266387536, 4078, 10930, 2.530444
28.30187, 87.7632825339951, 11.3942866378989, 52286, 155554, 2.610531
28.81005, 90.4126978003796, 11.0603933054085, 53258, 158446, 2.613809
29.31154, 89.7567233769591, 11.1412266385378, 54714, 162814, 2.53889
29.81262, 89.8765455769954, 11.1263733052419, 50790, 151042, 2.404328
30.31434, 89.7390567707221, 11.1434199718656, 49938, 148486, 2.261254
30.8144, 91.20525926007, 10.9642799723179, 50650, 150622, 2.131382
31.31622, 89.7631688552922, 11.1404266385398, 52070, 154882, 2.007072
31.81793, 89.6355061776791, 11.1562933051664, 52978, 157606, 1.934648
32.31849, 89.788046337815, 11.1373399718809, 52658, 156646, 1.892054
32.82453, 87.8961185074067, 11.3770666379423, 51378, 152806, 1.866954
33.33335, 84.2165780895413, 11.8741466366873, 53270, 158482, 1.831467
33.84337, 90.1828728295237, 11.088579972004, 54914, 163414, 1.799924
34.3448, 90.1208340142463, 11.0962133053181, 50446, 150010, 1.778502
