Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5257913, 89.9735837558093, 11.1143733052722, 394142, 1160136, 2.429636
1.037728, 89.5507953006131, 11.1668466384731, 394142, 1160136, 2.370985
1.538015, 89.9171683045578, 11.121346638588, 394142, 1160136, 2.380076
2.038299, 90.6061916647136, 11.0367733054682, 394142, 1160136, 2.370497
2.548031, 89.8169171959877, 11.13375997189, 384698, 1152766, 2.449439
3.049407, 89.743888889886, 11.1428199718671, 192526, 576250, 2.49703
3.560328, 90.0963670742226, 11.0992266386438, 384698, 1152766, 2.512438
4.060666, 90.0123496943781, 11.1095866386177, 384698, 1152766, 2.546857
4.571313, 90.4412083910147, 11.0569066387507, 384698, 1152766, 2.531542
5.081491, 90.260039172857, 11.079099972028, 388834, 1156502, 2.511382
5.581667, 90.2609624947649, 11.0789866386949, 393334, 1159566, 2.512618
6.081916, 89.9729361408088, 11.114453305272, 390178, 1157260, 2.521306
6.593433, 90.2134088399518, 11.0848266386802, 384698, 1152766, 2.512532
7.103971, 90.1552834602319, 11.0919733053288, 384698, 1152766, 2.476813
7.614676, 90.4855090473444, 11.051493305431, 393334, 1159566, 2.505413
8.114969, 89.7702599507341, 11.139546638542, 393526, 1159720, 2.548331
8.625587, 90.3360319717284, 11.0697799720515, 392902, 1159226, 2.54966
9.125779, 90.1537120790949, 11.0921666386616, 392902, 1159226, 2.550308
9.637424, 90.0839221819047, 11.1007599719733, 392902, 1159226, 2.5449
10.14654, 90.2833995913171, 11.0762333053685, 384698, 1152766, 2.454732
10.64681, 90.0608270826116, 11.1036066386328, 384698, 1152766, 2.276583
11.14688, 90.1802703604505, 11.0888999720032, 192526, 576250, 2.215179
11.64773, 89.9577738209684, 11.1163266386006, 192526, 576250, 2.182611
12.15727, 89.930106321367, 11.119746638592, 192526, 576250, 2.182604
12.65749, 89.9895612108995, 11.1123999719439, 192526, 576250, 2.177719
13.16779, 90.5319840446431, 11.045819972112, 192526, 576250, 2.150942
13.67942, 90.0496894186212, 11.1049799719626, 192526, 576250, 2.100218
14.18952, 90.0456891826913, 11.1054733052947, 192526, 576250, 2.094476
14.70089, 90.4353194537224, 11.0576266387488, 192526, 576250, 2.136066
15.2112, 89.9840548254849, 11.1130799719422, 192526, 576250, 2.168695
15.71222, 89.5680669539214, 11.1646933051452, 192526, 576250, 2.181468
16.22366, 83.8114309851978, 11.9315466365424, 192526, 576250, 2.185602
16.73539, 88.8274071635159, 11.2577866382435, 192526, 576250, 2.225983
17.24408, 89.9225586924541, 11.120679971923, 192526, 576250, 2.238206
17.74416, 90.1546874126627, 11.0920466386619, 192526, 576250, 2.205476
18.25546, 90.9638897614684, 10.9933733055777, 192526, 576250, 2.114203
18.75557, 89.873422272072, 11.1267599719076, 192526, 576250, 2.045216
19.26551, 90.1368638140152, 11.0942399719897, 192526, 576250, 2.017485
19.76568, 89.8575936855272, 11.1287199719027, 192526, 576250, 2.000777
20.27798, 89.4289603167932, 11.182059971768, 192526, 576250, 1.982982
20.78634, 85.2438371547198, 11.7310533037153, 192526, 576250, 1.968654
21.28682, 89.9445042408834, 11.1179666385965, 192526, 576250, 1.978806
21.78695, 90.1602688939859, 11.091359971997, 192526, 576250, 1.999327
22.2981, 90.0771600953377, 11.1015933053045, 192526, 576250, 2.013992
22.79922, 89.1029471690806, 11.222973304998, 192526, 576250, 2.021097
23.30794, 90.3329310506804, 11.0701599720505, 192526, 576250, 2.019669
23.80846, 90.0404461684189, 11.1061199719597, 192526, 576250, 1.999854
24.31018, 88.7822449715216, 11.2635133048957, 384698, 1152766, 1.968596
24.81913, 89.9311307400792, 11.1196199719257, 384698, 1152766, 1.940792
25.32124, 83.594566353187, 11.9624999697976, 384698, 1152766, 1.916951
25.82914, 90.5437878812572, 11.0443799721156, 384698, 1152766, 1.912702
26.33142, 88.741380993371, 11.2686999715493, 196274, 587494, 1.895779
26.841, 89.923960299171, 11.1205066385901, 196274, 587494, 1.828382
27.35135, 90.0038161618053, 11.1106399719483, 196274, 587494, 1.743975
27.86216, 90.2597132990467, 11.0791399720279, 196274, 587494, 1.682776
28.36325, 89.470993802046, 11.1768066384479, 196274, 587494, 1.650113
28.87377, 89.6217960207923, 11.1579999718288, 196274, 587494, 1.616527
29.38351, 90.1585889579771, 11.0915666386632, 196274, 587494, 1.600667
29.88487, 83.8217814810862, 11.9300733032128, 196274, 587494, 1.603976
30.39367, 90.0276384850149, 11.1076999719558, 196274, 587494, 1.608274
30.894, 90.1598895481246, 11.0914066386636, 196274, 587494, 1.617862
31.39429, 90.0996682530215, 11.0988199719782, 196274, 587494, 1.610491
31.89555, 89.4165925005708, 11.1836066384308, 196274, 587494, 1.564636
32.40551, 89.4414915501641, 11.1804933051053, 196274, 587494, 1.542317
32.91565, 89.5351335864193, 11.1687999718015, 196274, 587494, 1.531057
33.42656, 90.395044423138, 11.0625533054031, 196274, 587494, 1.501199
33.92818, 90.6705997557938, 11.028933305488, 196274, 587494, 1.485327
34.43675, 84.7955381718421, 11.7930733035587, 196274, 587494, 1.505551
34.94711, 90.5160865188961, 11.0477599721071, 196274, 587494, 1.473535
35.44748, 89.9647877820621, 11.1154599719362, 196274, 587494, 1.448876
35.95848, 90.7424547648863, 11.0201999721767, 196274, 587494, 1.425945
36.45973, 89.5885020921902, 11.162146638485, 196274, 587494, 1.44698
36.96952, 90.6199856941249, 11.0350933054724, 196274, 587494, 1.471473
37.48215, 88.6298010024621, 11.2828866381801, 196274, 587494, 1.500591
37.99138, 90.0901983065445, 11.0999866386419, 192526, 576250, 1.546315
38.50153, 90.5129186071631, 11.0481466387728, 201970, 583620, 1.566562
39.0124, 86.3710014544877, 11.5779599707685, 201970, 583620, 1.613755
39.51301, 89.2524571201445, 11.2041733050455, 192526, 576250, 1.653624
40.02288, 90.2130290467911, 11.0848733053467, 192526, 576250, 1.650586
40.52301, 90.1174771432039, 11.0966266386504, 192526, 576250, 1.640841
41.0346, 89.7180162748482, 11.1460333051923, 211414, 590988, 1.650539
41.54417, 91.2704666415571, 10.9564466390043, 201162, 583050, 1.689759
42.04523, 89.4719544194075, 11.1766866384482, 211414, 590988, 1.74158
