Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.523745, 89.3566677349753, 11.1911066384118, 14678, 42706, 2.600133
1.026039, 88.7158207514585, 11.2719466382077, 4102, 10978, 2.699689
1.536644, 89.6142465144539, 11.1589399718264, 4102, 10978, 2.693693
2.045799, 90.2122152150719, 11.0849733053465, 4102, 10978, 2.693168
2.545915, 89.338306896143, 11.193406638406, 14850, 43222, 2.682282
3.04829, 88.731774493519, 11.2699199715462, 14422, 41938, 2.652164
3.557533, 90.2384279743939, 11.0817533053546, 15046, 43810, 2.603474
4.067906, 90.308022603496, 11.0732133053762, 14530, 42262, 2.554525
4.580591, 89.8129376135385, 11.134253305222, 14366, 41770, 2.482237
5.090443, 89.9943123594589, 11.1118133052787, 14518, 42226, 2.276747
5.600739, 90.0050582842756, 11.1104866386154, 14526, 42250, 2.087744
6.101405, 89.9401897738004, 11.1184999719285, 14530, 42262, 1.968188
6.612026, 90.0309346291386, 11.1072933052901, 14422, 41938, 1.838068
7.113671, 89.631060628242, 11.1568466384983, 15046, 43810, 1.818297
7.623417, 89.2299986496527, 11.2069933050384, 23974, 49632, 1.817629
8.133767, 89.9171144039424, 11.1213533052546, 24114, 50052, 1.80904
8.644558, 89.8411787641807, 11.1307533052309, 23846, 49248, 1.794237
9.155857, 90.1391387746125, 11.0939599719904, 23986, 49668, 1.780742
9.665763, 90.2049456364861, 11.0858666386775, 24022, 49776, 1.838972
10.17639, 91.2381010309905, 10.9603333056612, 14422, 41938, 1.937478
10.67743, 89.7452312375628, 11.1426533052008, 14502, 42178, 1.975878
11.18851, 90.3620990031253, 11.0665866387262, 23974, 49632, 1.978327
11.68896, 89.4485319110619, 11.1796133051075, 24114, 50052, 1.976949
12.19795, 90.2017452233666, 11.0862599720099, 23846, 49248, 1.995707
12.69827, 89.93808662117, 11.1187599719278, 23986, 49668, 2.023645
13.19906, 89.8349910883689, 11.1315199718956, 24022, 49776, 2.14375
13.70985, 89.5022244286178, 11.1729066384578, 23866, 49308, 2.303784
14.2218, 88.9536735198553, 11.2418066382838, 24130, 50100, 2.36457
14.73113, 90.0746719030076, 11.1018999719704, 23826, 49188, 2.421699
15.24179, 90.3178646930005, 11.0720066387125, 14694, 42754, 2.497868
15.74283, 90.0115934932419, 11.1096799719508, 14402, 41878, 2.513752
16.25578, 82.8376878344572, 12.0717999695216, 14542, 42298, 2.51166
16.76284, 89.8007859364785, 11.1357599718849, 14578, 42406, 2.497119
17.26436, 89.1470057898009, 11.2174266383454, 14422, 41938, 2.488072
17.77523, 90.1884035750683, 11.0878999720057, 14686, 42730, 2.492194
18.28543, 89.7038517039845, 11.1477933051879, 14382, 41818, 2.504915
18.79619, 90.0726165434573, 11.1021533053031, 4102, 10978, 2.533035
19.30678, 90.4551704175411, 11.0551999720883, 4102, 10978, 2.47797
19.80845, 89.1411782324374, 11.2181599716769, 4102, 10978, 2.455675
20.31768, 89.8353677051436, 11.1314733052291, 4102, 10978, 2.512992
20.82813, 84.5379045420525, 11.8290133034679, 4102, 10978, 2.500986
21.32827, 90.3113936854273, 11.0727999720439, 4102, 10978, 2.463831
21.8285, 89.8263297740149, 11.1325933052262, 14530, 42262, 2.462178
22.33885, 90.155391833364, 11.0919599719955, 24138, 50124, 2.493981
22.83932, 89.6266690726448, 11.1573933051636, 33290, 56616, 2.527026
23.34991, 89.9964721382922, 11.1115466386127, 22966, 25668, 2.558928
23.86027, 90.5449356406597, 11.044239972116, 33394, 56952, 2.552376
24.36125, 90.2831278890601, 11.0762666387018, 33134, 56148, 2.541212
24.86268, 88.9563639382761, 11.2414666382847, 33390, 56916, 2.54451
25.37156, 84.4805320245985, 11.837046636781, 33394, 56952, 2.534219
25.88298, 89.7164600995015, 11.1462266385251, 33558, 57420, 2.509584
26.3922, 90.5122085884018, 11.0482333054392, 33290, 56616, 2.467559
26.89263, 89.9950142762091, 11.1117266386123, 23970, 49620, 2.437048
27.39496, 89.1579742594984, 11.2160466383489, 23974, 49632, 2.41189
27.90218, 90.3634599084437, 11.06641997206, 23866, 49308, 2.300271
28.40276, 89.9001389256813, 11.1234533052493, 24490, 51180, 2.159682
28.90303, 89.4555733804068, 11.1787333051097, 24122, 50076, 2.057248
29.40335, 90.3735318819746, 11.0651866387298, 23810, 49140, 1.986625
29.90492, 83.8454895318906, 11.926699969888, 23802, 49116, 1.946622
30.41338, 91.6640695180303, 10.9093999724564, 23926, 49488, 1.932021
30.92458, 90.3151456692984, 11.072339972045, 18966, 46898, 1.940803
31.43501, 89.7728925364613, 11.1392199718762, 14338, 41686, 1.949527
31.93514, 89.8557635283842, 11.1289466385688, 14762, 42958, 1.936015
32.43637, 89.1133753829647, 11.221659971668, 14530, 42262, 1.862765
32.94553, 90.2098280600677, 11.0852666386791, 14314, 41614, 1.807892
33.45625, 90.0892243678139, 11.1001066386416, 23802, 49116, 1.78508
33.95691, 89.981247907936, 11.113426638608, 23926, 49488, 1.780136
34.45694, 83.8792943402726, 11.9218933032334, 24294, 50592, 1.788959
34.96695, 90.0747259926835, 11.1018933053037, 23866, 49308, 1.794558
35.47743, 90.3894338367422, 11.063239972068, 24206, 50328, 1.813868
35.97744, 90.2534678390793, 11.0799066386926, 24122, 50076, 1.871964
36.47751, 90.2839430007373, 11.076166638702, 23810, 49140, 1.918948
36.97809, 89.163910015782, 11.2152999716841, 23962, 49596, 1.962526
37.47818, 89.2649389338553, 11.2026066383828, 23970, 49620, 2.004233
37.98854, 90.8104102632715, 11.0119533055308, 28086, 53318, 2.133847
38.48859, 90.0524465448677, 11.1046399719635, 23666, 48732, 2.299966
38.99813, 84.8703831218835, 11.7826733035849, 23922, 49500, 2.38119
39.50877, 90.3665084851139, 11.0660466387276, 13522, 18300, 2.477073
40.01037, 89.3267620597084, 11.194853305069, 13522, 18300, 2.623357
40.5202, 90.927496838754, 10.9977733055666, 13522, 18300, 2.76507
41.02096, 89.5327286889723, 11.1690999718007, 13522, 18300, 2.800738
41.53054, 89.8008934590227, 11.1357466385516, 13522, 18300, 2.849929
42.03101, 90.2780201909801, 11.0768933053669, 13522, 18300, 2.88648
42.54126, 90.8414828236924, 11.0081866388737, 13522, 18300, 2.902442
43.04133, 90.4815791569047, 11.0519733054298, 13522, 18300, 2.915623
43.54213, 84.9235744445715, 11.7752933036036, 23734, 48936, 2.914326
44.05234, 89.3944775667538, 11.1863733050905, 23806, 49152, 2.890915
44.56311, 90.8749439604512, 11.0041333055506, 23786, 49068, 2.814653
45.06353, 89.4622424605695, 11.1778999717785, 24274, 50532, 2.736822
45.57388, 89.6648685871686, 11.1526399718423, 23782, 49056, 2.660673
46.08319, 91.5039776779097, 10.9284866390749, 15046, 43810, 2.57028
46.58407, 89.86464587039, 11.1278466385716, 14530, 42262, 2.494953
47.08452, 89.72386583052, 11.1453066385275, 14366, 41770, 2.447179
