Timestamp(s),FPS,RenderTime(ms),Triangles,Vertices,Distance
0.5247223, 89.3369234864985, 11.1935799717389, 50310, 149602, 2.671822
1.026326, 89.9244993903119, 11.1204399719236, 50266, 149470, 2.664778
1.528024, 89.3791367643799, 11.1882933050856, 52674, 156694, 2.662374
2.028421, 89.8215963453389, 11.1331799718914, 52854, 157234, 2.63896
2.528526, 84.7412623284413, 11.8006266368729, 52946, 157510, 2.63222
3.031439, 89.5118916548063, 11.1716999717942, 51570, 153382, 2.656039
3.532783, 89.7318632462476, 11.1443133051966, 53214, 158314, 2.673327
4.034726, 89.3610861065553, 11.1905533050799, 54934, 163474, 2.66204
4.536357, 89.2954942684199, 11.1987733050591, 50446, 150010, 2.633235
5.036574, 89.7501177222377, 11.1420466385357, 53714, 159814, 2.546423
5.537403, 90.0649368194468, 11.1030999719674, 53474, 159094, 2.477062
6.038987, 89.5735225444613, 11.1640133051469, 52514, 156214, 2.423767
6.539746, 89.6790208485788, 11.1508799718467, 53454, 159034, 2.302371
7.042039, 89.1988515945187, 11.2109066383618, 54982, 163618, 2.095859
7.542791, 90.032988086835, 11.1070399719574, 52018, 154726, 1.92426
8.043589, 89.5059094784968, 11.172446638459, 51070, 151882, 1.821888
8.544439, 89.8078829767362, 11.1348799718871, 52170, 155182, 1.777721
9.045585, 89.6417199736095, 11.155519971835, 54718, 162826, 1.725438
9.546104, 80.0508482988394, 12.4920599684606, 54898, 163366, 1.717069
10.04667, 89.6603129384016, 11.1532066385075, 55438, 164986, 1.74465
10.58654, 45.8489856676071, 21.8107332782665, 53890, 160342, 1.788668
11.09004, 43.4954194973727, 22.9909266086202, 51902, 154378, 1.810165
11.60669, 46.6622783386238, 21.4305866125596, 52746, 156910, 1.819612
12.11582, 62.478470960215, 16.0055132929233, 50986, 151630, 1.817077
12.61796, 75.5987420369325, 13.2277332999365, 50518, 150226, 1.807561
13.12699, 85.9481629439652, 11.6349199706247, 53294, 158554, 1.753428
13.62963, 75.1790765603668, 13.3015732997501, 51038, 151786, 1.688494
14.13038, 90.2751949041458, 11.0772399720327, 53050, 157822, 1.657104
14.63223, 89.1556425714627, 11.2163399716815, 52390, 155842, 1.643666
15.13629, 83.5878583620458, 11.9634599697952, 51250, 152422, 1.651747
15.63755, 89.6197077322092, 11.1582599718281, 53218, 158326, 1.687622
16.14099, 88.8411384221932, 11.2560466382479, 55014, 163714, 1.735254
16.64181, 89.2504391121604, 11.2044266383782, 50166, 149170, 1.778575
17.15273, 90.1641167252633, 11.0908866386649, 53930, 160462, 1.798218
17.65416, 90.5576722572949, 11.0426866387866, 53562, 159358, 1.807299
18.15533, 90.0427703159, 11.1058333052938, 52474, 156094, 1.821145
18.65833, 89.2810376599321, 11.2005866383879, 53698, 159766, 1.838955
19.15918, 89.6618135715707, 11.1530199718413, 55342, 164698, 1.843889
19.66037, 90.1081658422771, 11.0977733053141, 50954, 151534, 1.84716
20.16223, 89.4434115386771, 11.1802533051059, 50986, 151630, 1.840853
20.66285, 89.8148735825716, 11.1340133052227, 54246, 161410, 1.827587
21.16427, 89.5306979872902, 11.1693533051334, 54906, 163390, 1.809049
21.66528, 89.5345457106685, 11.1688733051346, 55154, 164134, 1.813622
22.16596, 84.0945761240922, 11.8913733033105, 55390, 164842, 1.854955
22.66697, 90.3350527105032, 11.0698999720512, 53334, 158674, 1.897624
23.16727, 90.6655577261562, 11.0295466388197, 51910, 154402, 1.916486
23.66822, 86.5619497906066, 11.5524199708329, 51382, 152818, 1.896081
24.17, 89.9575580241242, 11.1163533052672, 50310, 149602, 1.860483
24.67158, 89.5404248155915, 11.1681399718032, 49678, 147706, 1.842711
25.17329, 89.4213899541626, 11.1830066384323, 54370, 161782, 1.827581
25.67423, 89.7855203489903, 11.1376533052135, 51586, 153430, 1.815538
26.17491, 89.9159825059464, 11.1214933052543, 52882, 157318, 1.7896
26.6766, 84.2064134972776, 11.875579970017, 51570, 153382, 1.761022
27.17825, 88.9783153913503, 11.2386933049584, 52498, 156166, 1.714208
27.67862, 89.9861601285722, 11.1128199719428, 55358, 164746, 1.66464
28.18133, 89.1784877706567, 11.2134666383554, 51206, 152290, 1.635008
28.68169, 89.553949687397, 11.1664533051407, 53474, 159094, 1.622238
29.193, 89.2343514179636, 11.2064466383731, 53622, 159538, 1.686287
29.69398, 90.3641131575571, 11.0663399720602, 52870, 157282, 1.732263
30.19557, 90.2911709681381, 11.0752799720376, 53294, 158554, 1.805608
30.69725, 89.430506534389, 11.1818666384352, 54514, 162214, 1.877456
31.19882, 89.5368438143173, 11.1685866384687, 53398, 158866, 1.911463
31.69954, 89.2996939401823, 11.1982466383938, 50438, 149986, 1.896895
32.20061, 89.2535723742343, 11.2040333050459, 52262, 155458, 1.848176
32.70197, 89.806054843959, 11.1351066385532, 54642, 162598, 1.792412
33.20387, 89.805893541699, 11.1351266385532, 69962, 175196, 1.810756
33.70511, 79.6411264653304, 12.556326634965, 22966, 25668, 1.919361
34.21615, 89.0951672999353, 11.2239533049956, 22966, 25668, 2.085404
34.71862, 88.912493509388, 11.2470133049374, 4078, 10930, 2.25313
35.21878, 90.1475354565282, 11.0929266386597, 4078, 10930, 2.406387
35.72018, 90.433302123796, 11.0578733054149, 4078, 10930, 2.564981
36.22039, 84.7012586607037, 11.8061999701922, 4078, 10930, 2.677019
36.72272, 89.7009013146564, 11.1481599718536, 53770, 159982, 2.628261
37.2235, 89.9651654879231, 11.1154133052696, 50834, 151174, 2.558894
37.72536, 90.0689387657313, 11.1026066386353, 53362, 158758, 2.595168
38.22944, 77.8292084717612, 12.848646634227, 52682, 156718, 2.634497
38.73903, 89.6193329214827, 11.1583066384947, 51490, 153142, 2.666835
39.24012, 84.3080751960584, 11.8612599700532, 52426, 155950, 2.701099
39.74095, 91.0028514226779, 10.988666638923, 55434, 164974, 2.733986
40.24397, 85.2081009045692, 11.7359733037028, 51170, 152182, 2.755904
40.75392, 90.5231878163031, 11.0468933054426, 56170, 167182, 2.768303
41.25613, 84.5532488176637, 11.8268666368067, 53686, 159730, 2.777341
41.75682, 90.3131880736016, 11.0725799720444, 52382, 155818, 2.788833
42.25809, 89.9465537577571, 11.1177133052638, 54462, 162058, 2.799239
42.75987, 89.7234901480617, 11.145353305194, 56230, 167362, 2.790808
43.27053, 89.991666771657, 11.1121399719445, 49630, 147562, 2.790302
43.77557, 88.4571655021772, 11.3049066381245, 51134, 152074, 2.78488
44.28453, 83.7533096516197, 11.9398266365215, 54710, 162802, 2.781686
44.78563, 89.9042878951069, 11.1229399719173, 54562, 162358, 2.791728
45.28621, 79.3148466288811, 12.6079799681679, 4102, 10978, 2.805551
45.78753, 89.7859502944979, 11.1375999718803, 56074, 166894, 2.768605
46.28987, 83.7987422367448, 11.9333533032045, 53122, 158038, 2.776363
46.79134, 89.7618259709686, 11.140593305206, 52286, 155530, 2.783555
